z_variable,size_variable,pi_mode,pi_size_strength,objective,iterations,colony_size,corr_y_z,corr_y_size,corr_y_pi,corr_y_over_pi_z_over_pi,Ppi_z_eff,Ppi_y_eff,Ppi_z_opt_eff,Ppi_y_z_order_eff,Ppi_y_opt_eff,Start_z_eff,Start_y_eff,Start_z_over_Ppi_z,Start_y_over_Ppi_y,Start_z_over_Ppi_z_opt,Start_y_over_Ppi_y_opt,ABC_z_eff,ABC_y_eff,Random_z_eff,Random_y_eff,evaluations_ABC,evaluations_Random,ABC_valid_percent,Random_valid_percent,ABC_z_over_Ppi_z,ABC_y_over_Ppi_y,ABC_z_over_Ppi_z_opt,ABC_y_over_Ppi_y_opt,Random_z_over_Ppi_z,Random_y_over_Ppi_y,Random_z_over_Ppi_z_opt,Random_y_over_Ppi_y_opt,both_ABC,both_Random
z_80,size_00,auxiliary,0.35,eff_z,150,20,0.7999999999999999,1.431161999086107e-17,2.3835928402128973e-16,0.8000000000000003,9.86810207126051,2.243800749919743,9.868102073161047,2.243800749919743,6.2376311056539215,9.868280349035972,2.2442760409460263,1.0000180660652043,1.0002118240785418,1.0000180658726068,0.35979621156367625,9.868280349035972,2.2442760409460263,9.868280349035972,2.2442760409460263,13507,4520,99.96298215739986,99.93362831858407,1.0000180660652043,1.0002118240785418,1.0000180658726068,0.35979621156367625,1.0000180660652043,1.0002118240785418,1.0000180658726068,0.35979621156367625,False,False
z_80,size_80,auxiliary,0.35,eff_z,150,20,0.7999999999999999,0.8000000000000004,0.7968202530366716,-0.5431588800339152,1.25358508189391,1.441047675886748,4.600513945894489,1.441047675886748,2.4502170675811374,1.2535858046019197,1.4410220601048294,1.000000576512931,0.9999822241953911,0.2724882087838518,0.588120162564785,2.029806220238823,0.7035115506296515,1.2535858046019197,1.4410220601048294,15032,4520,99.6740287386908,99.95575221238938,1.6192010016362048,0.4881945007105653,0.441212926231911,0.28712213294806593,1.000000576512931,0.9999822241953911,0.2724882087838518,0.588120162564785,False,False
z_80,size_90,auxiliary,0.35,eff_z,150,20,0.7999999999999999,0.9000000000000001,0.8655222606938383,-0.5857763447512758,1.50271331829187,2.684707741746442,5.779388626944257,2.684707741746442,4.881811253431586,1.5027133964664598,2.6847521765745226,1.0000000520222911,1.0000165510857624,0.2600125192240258,0.5499500159264293,2.7615865444473027,0.8465120667457408,1.5027133964664598,2.6847521765745226,15257,4520,99.96067378908042,99.93362831858407,1.8377334590914456,0.3153088336516928,0.477833681502647,0.17340122810989458,1.0000000520222911,1.0000165510857624,0.2600125192240258,0.5499500159264293,False,False
z_90,size_00,auxiliary,0.35,eff_z,150,20,0.9,1.431161999086107e-17,2.3835928402128973e-16,0.9000000000000004,10.426075170042793,2.939418442772472,10.42607517361845,2.939418442772472,6.2376311056539215,10.42627205364841,2.9402403942319806,1.00001888377001,1.0002796306397035,1.00001888342705,0.47137131780154234,10.42627205364841,2.9402403942319806,10.42627205364841,2.9402403942319806,13307,4520,99.97745547456226,99.82300884955752,1.00001888377001,1.0002796306397035,1.00001888342705,0.47137131780154234,1.00001888377001,1.0002796306397035,1.00001888342705,0.47137131780154234,False,False
z_90,size_80,auxiliary,0.35,eff_z,150,20,0.9,0.8000000000000004,0.7968202530366716,-0.5170980066756964,1.2476092718611684,1.441047675886748,2.915913893022495,1.441047675886748,2.4502170675811374,1.247610495368479,1.4410220601048294,1.0000009806814827,0.9999822241953911,0.4278625985334795,0.588120162564785,1.817469435195598,1.0357888212530548,1.247610495368479,1.4410220601048294,14557,4520,99.92443497973484,99.86725663716814,1.4567617251547986,0.7187748459576,0.6232932459167021,0.4227334936800473,1.0000009806814827,0.9999822241953911,0.4278625985334795,0.588120162564785,False,False
z_90,size_90,auxiliary,0.35,eff_z,150,20,0.9,0.9000000000000001,0.8655222606938383,-0.5881511960136881,1.4203281398230647,2.684707741746442,3.019190686396836,2.684707741746442,4.881811253431586,1.4203279808638398,2.6847521765745226,0.9999998880827462,1.0000165510857624,0.47043334734146536,0.5499500159264293,2.074051323183719,0.9892217389619973,1.4203279808638398,2.6847521765745226,14357,4520,99.92338232221216,99.93362831858407,1.4602620796079497,0.3684653355670267,0.6869560549880123,0.20263416334800752,0.9999998880827462,1.0000165510857624,0.47043334734146536,0.5499500159264293,False,False
z_00,size_00,auxiliary,0.35,eff_z,200,20,-2.4830408006784862e-17,1.431161999086107e-17,2.3835928402128973e-16,-3.475577650980294e-17,12.940311930050942,1.008922640219851,12.940311923075058,1.008922640219851,6.2376311056539215,12.94062140831539,1.0090161430026268,1.0000239158272322,1.0000926758693367,1.0000239163663267,0.1617627150294337,12.94062140831539,1.0090161430026268,12.94062140831539,1.0090161430026268,17095,6020,99.97660134542264,99.85049833887044,1.0000239158272322,1.0000926758693367,1.0000239163663267,0.1617627150294337,1.0000239158272322,1.0000926758693367,1.0000239163663267,0.1617627150294337,False,False
z_00,size_80,auxiliary,0.35,eff_z,200,20,-2.4830408006784862e-17,0.8000000000000004,0.7968202530366716,0.10313052788399882,0.8311201502898055,1.441047675886748,4.957274197997176,1.441047675886748,2.4502170675811374,0.8311209346655268,1.4410220601048294,1.000000943757315,0.9999822241953911,0.167656841536285,0.588120162564785,1.4434353521518692,0.6531506929207933,0.9608758942342701,0.5182398644225423,20970,6020,99.9380066762041,99.91694352159469,1.7367348771998297,0.4532471089264117,0.29117520929849755,0.2665685018534239,1.156121523343189,0.35962714703636967,0.19383150010594138,0.21150773589792618,False,False
z_00,size_90,auxiliary,0.35,eff_z,200,20,-2.4830408006784862e-17,0.9000000000000001,0.8655222606938383,0.03316670100622662,0.8760830557736132,2.684707741746442,6.265601432632024,2.684707741746442,4.881811253431586,0.8760828810604523,2.6847521765745226,0.9999998005746604,1.0000165510857624,0.13982422764679936,0.5499500159264293,1.2527753958748875,0.5653669886469297,0.9735315536053409,0.7566098424393607,22195,6020,99.88285649921153,99.96677740863787,1.4299733200166065,0.2105879086410911,0.199944954900942,0.11581090691482893,1.1112320312435184,0.2818220511209815,0.15537719149115817,0.15498547632449222,False,False
z_80,size_00,auxiliary,0.35,eff_z,200,20,0.7999999999999999,1.431161999086107e-17,2.3835928402128973e-16,0.8000000000000003,9.86810207126051,2.243800749919743,9.868102073161047,2.243800749919743,6.2376311056539215,9.868280349035972,2.2442760409460263,1.0000180660652043,1.0002118240785418,1.0000180658726068,0.35979621156367625,9.868280349035972,2.2442760409460263,9.868280349035972,2.2442760409460263,17070,6020,99.96485061511423,99.91694352159469,1.0000180660652043,1.0002118240785418,1.0000180658726068,0.35979621156367625,1.0000180660652043,1.0002118240785418,1.0000180658726068,0.35979621156367625,False,False
