population,design,n,mode,y,true_var,RB_VarB_pct,RB_UPB_pct,RB_HybridB_a035_pct,RB_LM_simple_q8_pct,RB_LM_Tille_j3_pct
regular,regular_initial_20_ep,20,ep,bird,29737.426759726706,0.7268881857595921,0.7268881857595921,0.7268881857595919,5.572540165012589,2.650036916528203
regular,regular_initial_20_ep,20,ep,peak,19740.703069777945,0.6510648657695011,0.6510648657695011,0.6510648657695011,8.61219541286906,5.154844644814308
regular,regular_initial_20_ep,20,ep,plane,50790.31994682624,0.1212536136952358,0.1212536136952358,0.1212536136952358,-0.2397732907906609,-0.600096309169162
regular,regular_initial_20_ep,20,ep,z,50790.31994682624,0.1212536136952358,0.1212536136952358,0.1212536136952358,-0.2397732907906609,-0.600096309169162
regular,regular_best_50_ep,50,ep,bird,3911.181900508298,2.072448550325023,2.072448550325023,2.072448550325024,13.727276219192694,6.642913043319128
regular,regular_best_50_ep,50,ep,peak,2040.4966038091702,4.59484031533226,4.59484031533226,4.594840315332266,24.66726577862379,14.192986752885245
regular,regular_best_50_ep,50,ep,plane,8263.653000733491,0.2820636735752411,0.2820636735752411,0.28206367357524087,-0.39519996709487293,-0.6622303287136512
regular,regular_best_50_ep,50,ep,z,8263.653000733491,0.2820636735752411,0.2820636735752411,0.28206367357524087,-0.39519996709487293,-0.6622303287136512
regular,regular_initial_50_ep,50,ep,bird,9188.244301103436,0.8454968269070022,0.8454968269070022,0.8454968269070029,4.924870906929509,1.5665471250793357
regular,regular_initial_50_ep,50,ep,peak,3473.544471309691,2.144701214274193,2.144701214274193,2.1447012142741944,14.234838702877425,6.552168049127508
regular,regular_initial_50_ep,50,ep,plane,24328.015539624816,-0.055528657422042604,-0.055528657422042604,-0.055528657422042604,-0.7950225469041114,-0.9120120243732623
regular,regular_initial_50_ep,50,ep,z,24328.015539624816,-0.055528657422042604,-0.055528657422042604,-0.055528657422042604,-0.7950225469041114,-0.9120120243732623
