Method,D,V,M,L,HT
Wave,0.26829222996176005,0.20119205987691008,-0.35104314100094436,0.5808343480662875,61.781698866006984
Wave,0.07112746001047798,0.19648332797021237,-0.22597480669182396,0.4940550887863897,56.01296878289179
Wave,-0.09754004197413932,0.13537226792617524,-0.3185611876018855,0.545459099489243,63.007655613811856
Wave,-0.4693737035314547,0.1100709403364506,-0.3673830720555382,0.20073795098683478,45.598617907531555
Wave,-0.4293377387913391,0.10861765593117712,-0.09055589167582459,0.28788840774436714,37.65160207501857
Wave,0.07839987479087261,0.012951697309839189,-0.3672896952458539,0.27810428669502874,39.26479808867412
Wave,0.3204984221652018,0.23196764426297026,-0.32871283319065053,8.586301948550894,280.8982119379358
Wave,-0.14131715451944105,0.07150395099568717,-0.1606876521787457,0.4131137296581486,29.41322311124095
Wave,-0.20737859296866473,0.1428852317726656,-0.39455991044242245,0.3300428194702593,33.430912724892124
Wave,0.12153021332921282,0.07561734973579892,-0.29123998759422653,0.36039323448977734,33.281670857169615
Wave,0.11621091612447923,0.033677540324300245,-0.2851424641954694,0.40522464715031453,36.117665860672325
Wave,-0.3702468401711936,0.12937064040538016,-0.22507145481096888,0.4296791165655125,25.5627786317053
Wave,-0.07594917401630814,0.059052659443758135,-0.3715879451747763,0.24128169144769943,52.32234251212506
Wave,0.20698882138105845,0.257752188874054,-0.3022193282088834,0.6082304527159414,65.24038010657806
Wave,-0.4775572572626007,0.18501053620729382,-0.33194846568396524,0.3669251144495202,47.48823964615202
Wave,-0.48916665709254376,0.07391501937242007,-0.14047060094882308,0.48077622659645014,32.11038090959624
Wave,-0.15294072382987972,0.183829060247016,-0.43788108344169463,0.6488667888818557,32.34134448461805
Wave,-0.29100359557354183,0.0828334715313954,-0.4229183870873161,0.3458685431202539,44.52472327041157
Wave,-0.3762341302894183,0.12545067957425443,-0.2257409393339177,0.5649952199233167,26.952451083945498
Wave,-0.04151718014796651,0.08887732387753375,-0.33191119485864273,0.40490552661482754,25.370194684041557
Wave,-0.24542641886850586,0.0949938446836192,-0.16134077850739661,0.4636900120043748,37.06996587774921
Wave,0.2333163954002328,0.16817806882058184,-0.3146297187905009,2.085465508957599,37.0466991198028
Wave,-0.08215368558141461,0.1434501025254629,-0.1779182586318908,0.38021984708919154,27.89045700369664
Wave,0.1591608223567066,0.061973898133530124,-0.391715642584103,0.2694599241303746,39.24607446678005
Wave,-0.1266840203460878,0.11672904661006896,-0.1961784497261788,1.3832136311858485,57.38074050880794
Wave,0.062067226406085856,0.14761074365315752,-0.33042003818167076,0.4121641614483362,49.64552963048617
Wave,-0.6922166890536305,0.13705798481248438,-0.19723143284261685,0.4715091760479552,28.300428891137145
Wave,0.0756166068292844,0.04996189906522915,-0.30994926968363545,0.2834678896301576,33.99415738838138
Wave,0.14963588846466044,0.0957448095540494,-0.2546639054285045,1.0657251177456173,78.98328291630284
Wave,-0.20583149876541612,0.16643836927484787,-0.26654163823344945,0.4009774070280099,23.564981192189194
Wave,-0.10239560898836138,0.03850480913077019,-0.31812984847871856,0.41591652665577983,27.77042092649611
Wave,-0.04934451741922839,0.19185933663511512,-0.36614832339692455,0.47509164504948254,26.81328364009683
Wave,-0.4641236931961898,0.05053487361005354,-0.287883367539417,0.4390278226613139,28.517443762568398
Wave,0.4098174038369258,0.13362600525946147,-0.2125290383712653,0.33421068812564086,51.5454197047068
Wave,-0.03392299155960782,0.09659194966735227,-0.37896834261856177,0.33510883098902505,53.137059204282906
Wave,0.09559609060732394,0.18581243808361042,-0.28099929500570675,0.512371799541766,23.192008212646034
Wave,-0.4591423638474862,0.021829331928109662,-0.3296169552343908,0.28280831454927313,41.087925793726356
Wave,-0.04266017377679164,0.06367560109244531,-0.41214672581375267,0.3827136855833762,28.56607859654447
Wave,0.13134309924738158,0.20855670148628488,-0.008895093593341164,0.49220740373682614,22.425300748538124
Wave,-0.10508057864471995,0.03934971765221316,-0.16642444617334293,0.3857255894483394,39.64042398830346
Wave,0.2922632679266327,0.3626401956195275,-0.2453524975367139,1.3322493576909782,85.7446098684531
Wave,-0.28969572791814235,0.07348249749174718,-0.23388707391844255,1.0502075897238623,73.16649065604773
Wave,-0.30504946512229225,0.0368490648722693,-0.3186555178687763,0.3002012275514723,36.663842500981964
Wave,-0.48609679953964624,0.01445242563576291,-0.12289570161947906,0.40775438726519475,36.79873179084373
Wave,0.17663952265218444,0.11037358919335531,-0.2708624983295622,1.081532291879166,84.68748922331834
