design,population,design_type,n,mode,y,true_total,mean_nht,true_var_nht,E_vLM,E_VarB_UP_z,ratio_vLM,ratio_VarB_UP_z,relbias_vLM,relbias_VarB_UP_z,lm_q,lm_weight_method,lm_include_self
regular_best_20_ep,regular,best,20,ep,plane,2999.3156558692144,2999.3156558692153,22910.68073108713,25644.41760482578,35621.40206080333,1.1193215036177115,1.5547945728417065,0.11932150361771154,0.5547945728417065,4,equal,False
regular_best_20_ep,regular,best,20,ep,peak,7370.716937770997,7370.716937770996,8370.546348777345,212512.65444854528,37790.708525532835,25.38814619664417,4.51472424270762,24.38814619664417,3.5147242427076204,4,equal,False
regular_best_20_ep,regular,best,20,ep,bird,7179.306655465731,7179.30665546573,36627.95952455807,193886.70111458478,34513.32430339807,5.293407102969765,0.9422671847242216,4.293407102969765,-0.05773281527577845,4,equal,False
regular_best_50_ep,regular,best,50,ep,z,2999.3156558692144,2999.3156558692144,8263.653000733491,2895.5829190054583,10594.52932327145,0.35039986780040777,1.2820636735752418,-0.6496001321995922,0.28206367357524176,4,equal,False
regular_best_50_ep,regular,best,50,ep,plane,2999.3156558692144,2999.3156558692144,8263.653000733491,2895.5829190054583,10594.52932327145,0.35039986780040777,1.2820636735752418,-0.6496001321995922,0.28206367357524176,4,equal,False
regular_best_50_ep,regular,best,50,ep,peak,7370.716937770997,7370.716937770996,2040.4966038091702,41266.44019072706,11416.252662290113,20.223724025657013,5.594840315332265,19.223724025657013,4.594840315332265,4,equal,False
regular_best_50_ep,regular,best,50,ep,bird,7179.306655465731,7179.306655465732,3911.181900508298,46702.28437376834,12016.905160274211,11.940708860331682,3.0724485503250287,10.940708860331682,2.0724485503250287,4,equal,False
regular_initial_20_ep,regular,initial,20,ep,z,2999.3156558692144,2999.3156558692144,50790.31994682624,28309.355209806065,56948.82978111614,0.5573769812720986,1.1212536136952358,-0.44262301872790144,0.1212536136952358,4,equal,False
regular_initial_20_ep,regular,initial,20,ep,plane,2999.3156558692144,2999.3156558692144,50790.31994682624,28309.355209806065,56948.82978111614,0.5573769812720986,1.1212536136952358,-0.44262301872790144,0.1212536136952358,4,equal,False
regular_initial_20_ep,regular,initial,20,ep,peak,7370.716937770997,7370.716937770996,19740.703069777945,199547.16641144778,32593.181264098497,10.108412334966163,1.6510648657695008,9.108412334966163,0.6510648657695008,4,equal,False
regular_initial_20_ep,regular,initial,20,ep,bird,7179.306655465731,7179.306655465732,29737.426759726706,210605.98275941022,51353.2109462632,7.082185841467399,1.7268881857595921,6.082185841467399,0.7268881857595921,4,equal,False
regular_initial_50_ep,regular,initial,50,ep,z,2999.3156558692144,2999.3156558692144,24328.015539624816,2821.0282229419327,22977.11349896686,0.11595800809758272,0.9444713425779574,-0.8840419919024173,-0.055528657422042604,4,equal,False
regular_initial_50_ep,regular,initial,50,ep,plane,2999.3156558692144,2999.3156558692144,24328.015539624816,2821.0282229419327,22977.11349896686,0.11595800809758272,0.9444713425779574,-0.8840419919024173,-0.055528657422042604,4,equal,False
regular_initial_50_ep,regular,initial,50,ep,peak,7370.716937770997,7370.716937770995,3473.544471309691,38487.0724377135,10923.259516762986,11.080057490440607,3.1447012142741904,10.080057490440607,2.1447012142741904,4,equal,False
regular_initial_50_ep,regular,initial,50,ep,bird,7179.306655465731,7179.306655465732,9188.244301103436,43556.658115779865,16956.875702532736,4.740476710066258,1.8454968269070022,3.7404767100662584,0.8454968269070022,4,equal,False
