design,population,design_type,n,mode,y,true_total,mean_nht,true_var_nht,E_vLM_Tille_j3,ratio_vLM_Tille_j3,relbias_vLM_Tille_j3,E_vLM_Tille_j4,ratio_vLM_Tille_j4,relbias_vLM_Tille_j4,E_vLM_Tille_j5,ratio_vLM_Tille_j5,relbias_vLM_Tille_j5,E_VarB_a00,ratio_VarB_a00,relbias_VarB_a00,E_VarB_a02,ratio_VarB_a02,relbias_VarB_a02,E_VarB_a025,ratio_VarB_a025,relbias_VarB_a025,E_VarB_a03,ratio_VarB_a03,relbias_VarB_a03,E_VarB_a035,ratio_VarB_a035,relbias_VarB_a035,E_VarB_a04,ratio_VarB_a04,relbias_VarB_a04,E_VarB_a05,ratio_VarB_a05,relbias_VarB_a05,E_VarB_a075,ratio_VarB_a075,relbias_VarB_a075,E_VarB_a10,ratio_VarB_a10,relbias_VarB_a10,best_lm_j,best_lm_relbias,best_lm_ratio,best_lm_value,best_varb_alpha_name,best_varb_relbias,best_varb_ratio,best_varb_value
aggregated_initial_20_ep,aggregated,initial,20,ep,peak,7263.699970585046,7263.699970585045,57586.78913759953,68007.90316718098,1.1809636235262386,0.18096362352623863,80534.14756090152,1.3984830334692027,0.39848303346920266,85928.21001490038,1.492151434412866,0.4921514344128659,35629.11971712825,0.6187030089834493,-0.3812969910165507,35629.11971712824,0.6187030089834492,-0.3812969910165508,35629.11971712825,0.6187030089834493,-0.3812969910165507,35629.11971712825,0.6187030089834493,-0.3812969910165507,35629.11971712824,0.6187030089834492,-0.3812969910165508,35629.11971712825,0.6187030089834493,-0.3812969910165507,35629.11971712825,0.6187030089834493,-0.3812969910165507,35629.11971712825,0.6187030089834493,-0.3812969910165507,35629.11971712825,0.6187030089834493,-0.3812969910165507,3,0.18096362352623863,1.1809636235262386,68007.90316718098,00,-0.3812969910165507,0.6187030089834493,35629.11971712825
aggregated_initial_20_ep,aggregated,initial,20,ep,bird,6671.0377551274105,6671.037755127411,95779.19072786186,86784.48889312355,0.9060891852772589,-0.0939108147227411,95043.82221007277,0.9923222517104107,-0.007677748289589337,103202.33836622392,1.077502718303953,0.07750271830395294,45306.89950189073,0.47303489575957647,-0.5269651042404235,45306.89950189074,0.4730348957595766,-0.5269651042404234,45306.89950189073,0.47303489575957647,-0.5269651042404235,45306.89950189073,0.47303489575957647,-0.5269651042404235,45306.89950189073,0.47303489575957647,-0.5269651042404235,45306.89950189074,0.4730348957595766,-0.5269651042404234,45306.89950189073,0.47303489575957647,-0.5269651042404235,45306.89950189073,0.47303489575957647,-0.5269651042404235,45306.89950189073,0.47303489575957647,-0.5269651042404235,5,0.07750271830395294,1.077502718303953,103202.33836622392,02,-0.5269651042404234,0.4730348957595766,45306.89950189074
aggregated_initial_50_ep,aggregated,initial,50,ep,z,2890.7252931792573,2890.7252931792573,9172.22452826299,866.2590821876523,0.09444372840180593,-0.9055562715981941,1325.0680288548115,0.14446528481414628,-0.8555347151858537,1865.7929725281233,0.20341771691032315,-0.7965822830896768,6605.309398023345,0.720142575846237,-0.279857424153763,6605.309398023347,0.7201425758462371,-0.2798574241537629,6605.309398023345,0.720142575846237,-0.279857424153763,6605.309398023343,0.7201425758462368,-0.27985742415376325,6605.309398023347,0.7201425758462371,-0.2798574241537629,6605.309398023345,0.720142575846237,-0.279857424153763,6605.309398023345,0.720142575846237,-0.279857424153763,6605.309398023345,0.720142575846237,-0.279857424153763,6605.309398023345,0.720142575846237,-0.279857424153763,5,-0.7965822830896768,0.20341771691032315,1865.7929725281233,02,-0.2798574241537629,0.7201425758462371,6605.309398023347
aggregated_initial_50_ep,aggregated,initial,50,ep,plane,2890.7252931792573,2890.7252931792573,9172.22452826299,866.2590821876523,0.09444372840180593,-0.9055562715981941,1325.0680288548115,0.14446528481414628,-0.8555347151858537,1865.7929725281233,0.20341771691032315,-0.7965822830896768,6605.309398023345,0.720142575846237,-0.279857424153763,6605.309398023347,0.7201425758462371,-0.2798574241537629,6605.309398023345,0.720142575846237,-0.279857424153763,6605.309398023343,0.7201425758462368,-0.27985742415376325,6605.309398023347,0.7201425758462371,-0.2798574241537629,6605.309398023345,0.720142575846237,-0.279857424153763,6605.309398023345,0.720142575846237,-0.279857424153763,6605.309398023345,0.720142575846237,-0.279857424153763,6605.309398023345,0.720142575846237,-0.279857424153763,5,-0.7965822830896768,0.20341771691032315,1865.7929725281233,02,-0.2798574241537629,0.7201425758462371,6605.309398023347
aggregated_initial_50_ep,aggregated,initial,50,ep,peak,7263.699970585046,7263.699970585046,3582.466139528048,9084.542332739637,2.535834807342081,1.535834807342081,14458.806711976415,4.035992567366236,3.035992567366236,19288.796015614356,5.384222841016286,4.384222841016286,5230.2488817699505,1.4599576599093775,0.45995765990937754,5230.248881769952,1.459957659909378,0.459957659909378,5230.2488817699505,1.4599576599093775,0.45995765990937754,5230.24888176995,1.459957659909377,0.4599576599093771,5230.248881769954,1.4599576599093784,0.4599576599093784,5230.2488817699505,1.4599576599093775,0.45995765990937754,5230.2488817699505,1.4599576599093775,0.45995765990937754,5230.2488817699505,1.4599576599093775,0.45995765990937754,5230.2488817699505,1.4599576599093775,0.45995765990937754,3,1.535834807342081,2.535834807342081,9084.542332739637,03,0.4599576599093771,1.459957659909377,5230.24888176995
aggregated_initial_50_ep,aggregated,initial,50,ep,bird,6671.0377551274105,6671.0377551274105,5680.317756012348,15414.53064242752,2.7136740063726132,1.7136740063726132,22027.982360857714,3.877948964658207,2.877948964658207,25568.280753405186,4.5012060683299575,3.5012060683299575,11606.107513754978,2.043214484166922,1.043214484166922,11606.107513754978,2.043214484166922,1.043214484166922,11606.107513754978,2.043214484166922,1.043214484166922,11606.107513754972,2.043214484166921,1.043214484166921,11606.10751375498,2.0432144841669224,1.0432144841669224,11606.107513754974,2.0432144841669215,1.0432144841669215,11606.107513754978,2.043214484166922,1.043214484166922,11606.107513754978,2.043214484166922,1.043214484166922,11606.107513754978,2.043214484166922,1.043214484166922,3,1.7136740063726132,2.7136740063726132,15414.53064242752,03,1.043214484166921,2.043214484166921,11606.107513754972
meuse_best_10_ep,meuse,best,10,ep,z,503.09999999999997,503.09999999999997,23756.039999999997,17971.67921973356,0.7565098905260962,-0.24349010947390382,18562.236719943758,0.7813691473807823,-0.21863085261921766,19459.05187452805,0.8191201847836614,-0.18087981521633856,7363.2487096774175,0.30995269875271375,-0.6900473012472863,7363.24870967742,0.30995269875271386,-0.6900473012472861,7363.2487096774175,0.30995269875271375,-0.6900473012472863,7363.248709677418,0.3099526987527138,-0.6900473012472862,7363.2487096774175,0.30995269875271375,-0.6900473012472863,7363.2487096774175,0.30995269875271375,-0.6900473012472863,7363.2487096774175,0.30995269875271375,-0.6900473012472863,7363.2487096774175,0.30995269875271375,-0.6900473012472863,7363.2487096774175,0.30995269875271375,-0.6900473012472863,5,-0.18087981521633856,0.8191201847836614,19459.05187452805,02,-0.6900473012472861,0.30995269875271386,7363.24870967742
meuse_best_10_up,meuse,best,10,up,z,503.09999999999997,503.1000002817919,6561.174380841727,3271.611762168517,0.4986320393680506,-0.5013679606319494,3445.086513440314,0.5250716279542545,-0.47492837204574545,3533.362776248758,0.5385259667180903,-0.4614740332819097,1697.0941879670127,0.25865707714192687,-0.7413429228580731,3743.797172507208,0.5705986390849316,-0.4294013609150684,4686.826528647334,0.7143273835752046,-0.28567261642479536,5802.397328789492,0.8843534696672867,-0.11564653033271333,7090.5095729336845,1.0806768973611778,0.08067689736117778,8551.163261079908,1.3032976666568779,0.30329766665687785,11990.094969378446,1.827431230053704,0.8274312300537039,23606.899510160343,3.5979686165774236,2.5979686165774236,39537.24015099303,6.0259395431463645,5.0259395431463645,5,-0.4614740332819097,0.5385259667180903,3533.362776248758,035,0.08067689736117778,1.0806768973611778,7090.5095729336845
meuse_best_20_ep,meuse,best,20,ep,z,503.09999999999997,503.1000003813625,11087.379438978296,7120.474647957159,0.6422143922417534,-0.35778560775824664,8203.773765415632,0.7399199973778123,-0.26008000262218767,8663.637437287985,0.7813963150598499,-0.21860368494015014,4162.641486686168,0.375439616691765,-0.6245603833082349,4162.641486686168,0.375439616691765,-0.6245603833082349,4162.641486686168,0.375439616691765,-0.6245603833082349,4162.641486686167,0.3754396166917649,-0.6245603833082352,4162.641486686168,0.375439616691765,-0.6245603833082349,4162.641486686168,0.375439616691765,-0.6245603833082349,4162.641486686168,0.375439616691765,-0.6245603833082349,4162.641486686168,0.375439616691765,-0.6245603833082349,4162.641486686168,0.375439616691765,-0.6245603833082349,5,-0.21860368494015014,0.7813963150598499,8663.637437287985,00,-0.6245603833082349,0.375439616691765,4162.641486686168
meuse_best_20_up,meuse,best,20,up,z,503.09999999999997,503.09999977098875,2187.4232930875633,1251.3891572155424,0.572083675423058,-0.42791632457694195,1499.864446065976,0.6856763621406384,-0.31432363785936157,1612.1810615137974,0.7370229011496867,-0.2629770988503133,709.222461665321,0.32422735183744367,-0.6757726481625563,1469.7935813800088,0.6719291990830841,-0.3280708009169159,1785.9281956382183,0.8164529477590815,-0.1835470522409185,2152.4595436282407,0.9840160111809128,-0.015983988819087247,2569.3876253500807,1.1746183893485802,0.1746183893485802,3036.712440803734,1.3882600822620816,0.38826008226208164,4122.552272906487,1.8846614123265897,0.8846614123265897,7719.094693470128,3.528852745539969,2.528852745539969,12575.55545732914,5.749026947399218,4.749026947399218,5,-0.2629770988503133,0.7370229011496867,1612.1810615137974,035,0.1746183893485802,1.1746183893485802,2569.3876253500807
